ZCTA20,TOTPOP,MEDFAMINC
03245,2125,124053.0
03246,16943,88693.0
03249,7725,122827.0
03251,1474,95313.0
03253,6701,101176.0
03254,4996,108295.0
03255,1899,128625.0
03256,2591,95777.0
03257,4381,134722.0
03258,2659,119537.0
03259,246,
03260,995,122614.0
03261,4632,131136.0
03262,1194,101136.0
03263,4093,85667.0
03264,6917,92388.0
03266,1929,83182.0
03268,1507,110000.0
03269,2957,119474.0
03273,309,176195.0
03275,12028,102201.0
03276,8811,86250.0
03278,3003,111012.0
03279,763,56111.0
03280,1097,100673.0
03281,9108,125357.0
03282,1083,96875.0
03284,798,105714.0
03285,2715,98750.0
03287,1502,120972.0
03290,5119,114662.0
03291,134,
03293,57,62292.0
03301,33986,103071.0
03303,16118,100189.0
03304,8235,158203.0
03307,5638,85893.0
03431,24891,92389.0
03440,2900,105321.0
03441,357,
03442,1515,80125.0
03443,303,186306.0
03444,1686,96808.0
03445,687,100694.0
03446,6535,100580.0
03447,2287,93896.0
03448,871,85208.0
03449,1785,107109.0
03450,977,94957.0
03451,3965,76715.0
03452,5363,113229.0
03455,2292,89878.0
03456,803,114875.0
03457,773,104286.0
03458,6864,108500.0
03461,6446,114047.0
03462,1532,133153.0
03464,927,97813.0
03465,1889,80430.0
03466,1742,110570.0
03467,2042,109659.0
03470,4925,74909.0
03561,6021,70022.0
03570,9485,61627.0
03574,2528,86544.0
03575,0,
03576,2660,64125.0
03579,417,72750.0
03580,1425,106250.0
03581,3285,87454.0
03582,2062,67917.0
03583,972,69306.0
03584,3440,95156.0
03585,2557,83869.0
03586,633,143438.0
03588,1609,73125.0
03590,1193,49638.0
03592,1023,75000.0
03593,408,117639.0
03595,795,90750.0
03597,670,36250.0
03598,3463,84028.0
03601,478,88393.0
03602,2364,80000.0
03603,5218,71141.0
03604,0,
03605,934,98500.0
03607,320,106250.0
03608,3093,109797.0
03609,558,109931.0
03740,1077,67946.0
03741,4164,100982.0
03743,13647,62799.0
03745,1914,121333.0
03748,4547,102500.0
03750,1035,209250.0
03751,374,
03752,1077,81667.0
03753,3407,129063.0
03755,10170,231616.0
03765,469,75859.0
03766,10334,113158.0
03768,1684,151635.0
03770,638,152404.0
03771,856,82273.0
03773,7758,93217.0
03774,1770,59519.0
03777,1313,99583.0
03779,849,98510.0
03780,637,149856.0
03781,1840,114150.0
03782,3074,123233.0
03784,4181,105690.0
03785,2154,86338.0
03801,23102,136408.0
03809,3617,99758.0
03810,2286,146154.0
03811,7154,154946.0
03812,979,
03813,3655,87176.0
03814,2507,86929.0
03816,1469,90625.0
03817,882,80428.0
03818,3751,90735.0
03819,4234,131583.0
03820,32925,132222.0
03823,2213,198906.0
03824,15073,158571.0
03825,9339,114630.0
03826,3022,124743.0
03827,3164,143750.0
03830,1350,101250.0
03832,355,75714.0
03833,22543,146417.0
03835,6777,74449.0
03836,1336,88333.0
03837,1622,114750.0
03838,1097,
03839,3856,103350.0
03840,4052,147407.0
03841,6227,127436.0
03842,16123,114453.0
03844,2375,155568.0
03845,1078,120614.0
03846,1144,93194.0
03847,192,
03848,6226,129186.0
03849,1360,110125.0
03850,130,
03851,4195,117011.0
03852,314,
03853,824,97500.0
03854,904,250001.0
03855,2711,124115.0
03856,1985,195128.0
03857,9400,111025.0
03858,4808,140078.0
03860,4040,83275.0
03861,4547,137161.0
03862,4552,145625.0
03864,1934,89153.0
03865,7843,128769.0
03867,22349,91676.0
03868,6368,78245.0
03869,2427,107604.0
03870,5170,199931.0
03871,356,
03872,4020,101903.0
03873,6536,125643.0
03874,8614,94738.0
03875,1236,77214.0
03878,12088,83218.0
03882,1760,91058.0
03883,583,77321.0
03884,4261,138939.0
03885,7715,156005.0
03886,1278,78257.0
03887,1954,107083.0
03890,51,
03894,6528,101821.0
03897,5,
03901,7991,111287.0
03902,2607,160000.0
03903,6848,111350.0
03904,8113,98614.0
03905,1990,132183.0
03906,5003,100307.0
03907,1257,106815.0
03908,7521,104839.0
03909,10811,144031.0
03910,0,
03911,315,108623.0
04001,2671,81683.0
04002,7618,81164.0
04003,123,
04005,24590,85341.0
04006,75,250001.0
04008,3083,111875.0
04009,5366,85387.0
04010,1741,63214.0
04011,21691,98721.0
04015,3657,91985.0
04017,597,98750.0
04019,55,
04020,1881,67891.0
04021,6633,158605.0
04022,1131,70179.0
04024,432,64100.0
04027,6499,96215.0
04029,2011,95212.0
04030,2473,104674.0
04032,8700,132896.0
04037,3820,73561.0
04038,17999,116008.0
04039,7893,114973.0
04040,3044,71250.0
04041,1644,67566.0
04042,4766,95948.0
04043,11566,104175.0
04046,7965,104591.0
04047,1720,78077.0
04048,3244,95000.0
04049,3920,84871.0
04050,282,140000.0
04051,1436,98781.0
04055,3928,94750.0
04056,106,58438.0
04057,105,
04061,2909,78720.0
04062,18648,106853.0
04063,617,101932.0
04064,8423,99864.0
04066,644,187903.0
04068,1497,56339.0
04069,1600,104286.0
04071,4958,96631.0
04072,20446,108489.0
04073,17389,77344.0
04074,22098,147188.0
04076,2926,81761.0
04079,4250,119075.0
04083,4597,85208.0
04084,7345,111607.0
04085,3107,102917.0
04086,9566,96928.0
04087,2597,90789.0
04088,1127,79464.0
04090,11365,96418.0
04091,740,97250.0
04092,20339,93185.0
04093,8408,100212.0
04095,1464,88333.0
04096,8984,130274.0
04097,4106,124297.0
04101,17832,97273.0
04102,17501,113581.0
04103,31892,112094.0
04105,12436,190883.0
04106,26873,102385.0
04107,9519,171953.0
04108,859,99167.0
04109,141,132083.0
04110,1810,224219.0
04210,24038,83101.0
04216,622,52813.0
04217,3364,45927.0
04219,1269,71471.0
04220,3445,89489.0
04221,1075,82019.0
04222,4176,94310.0
04224,2872,72935.0
04226,81,44250.0
04227,45,
04231,282,69583.0
04234,0,
04236,4377,106223.0
04237,234,
04238,1260,88333.0
04239,4637,90125.0
04240,37577,72649.0
04250,4698,83634.0
04252,4971,82868.0
04253,1873,83345.0
04254,3061,57617.0
04255,687,87727.0
04256,3094,68681.0
04257,2758,60429.0
04258,2760,94375.0
04259,3410,108064.0
04260,5705,104246.0
04261,311,80000.0
04263,2267,80714.0
04265,697,54167.0
04267,36,
04268,5113,73167.0
04270,6127,77389.0
